id,texto,ad_hominem,ladeira_escorregadia,gen_apressada,falso_dilema,apelo_emocao,espantalho,falacias_esperadas,resposta_esperada
20,"Pessoa A: Precisamos reduzir o consumo de carne para ajudar o planeta. Pessoa B: Então você quer acabar com os churrascos, fechar fazendas e destruir a economia rural? Se isso acontecer, o país vai quebrar.",0,1,0,0,0,1,"Declive Escorregadio e Espantalho","Distorção + previsão de desastre."
21,"Você não deveria levar a sério o economista João; ele nunca conseguiu nem administrar a própria vida, imagine a economia do país.",1,0,0,0,0,0,"Ad Hominem","Ataque pessoal sem discutir ideias."
22,"Pessoa A: Acho que precisamos discutir limites para aluguel abusivo. Pessoa B: Ah, claro, você quer que ninguém mais possa alugar imóveis e destruir o mercado!",0,0,0,0,0,1,"Espantalho","Distorção extrema do argumento."
23,"Se você realmente ama sua família, vai apoiar este projeto de segurança. Não apoiar é abandonar quem você ama.",0,0,0,0,1,0,"Apelo à Emoção","Manipula culpa e medo."
24,"Conheci dois argentinos mal-humorados na viagem. Os argentinos são todos assim, insuportáveis.",0,0,1,0,0,0,"Generalização Apressada","Conclusão baseada em poucos casos."
25,"Ou você é a favor do uso de câmeras policiais ou está do lado dos que defendem a criminalidade.",0,0,0,1,0,0,"Falso Dilema","Ignora posições intermediárias."
26,"Se começarmos a limitar a publicidade infantil, logo as crianças vão parar de ter qualquer criatividade e o país vai virar um caos educativo.",0,1,0,0,0,0,"Declive Escorregadio","Prevê desastre sem base."
27,"Você não pode ouvir esse historiador. Ele é um fracassado que nem conseguiu publicar livros de verdade.",1,0,0,0,0,0,"Ad Hominem","Ataque pessoal direto."
28,"Pessoa A: acho que deveríamos criar incentivos para transporte público. Pessoa B: Então você quer proibir os carros e destruir a liberdade das pessoas.",0,0,0,0,0,1,"Espantalho","Distorção exagerada."
29,"Se você não apoiar este candidato agora, então não se importa com o futuro dos seus filhos.",0,0,0,0,1,0,"Apelo à Emoção","Apelo emocional forte."
30,"Eu vi um entregador mal educado ontem. Esses entregadores são todos sem educação.",0,0,1,0,0,0,"Generalização Apressada","Generalização de 1 caso."
31,"Ou aumentamos o policiamento imediatamente ou vamos viver em total anarquia.",0,0,0,1,0,0,"Falso Dilema","Redução binária extrema."
32,"Se permitirmos novamente festas de rua, logo não haverá mais controle algum e a cidade inteira vai virar uma zona.",0,1,0,0,0,0,"Declive Escorregadio","Supõe caos inevitável."
33,"Pessoa A: acho que precisamos revisar impostos para empresas. Pessoa B: Então você quer destruir o empreendedorismo! E quem apoia isso claramente não tem compaixão pelos trabalhadores que dependem desses empregos.",0,0,0,0,1,1,"Apelo à Emoção e Espantalho","Distorção + apelo emocional."
34,"Esse jornalista vive espalhando lorotas. Ele diz que defende a liberdade de imprensa, mas na verdade quer controlar tudo e manipular o povo.",1,0,0,0,0,1,"Ad Hominem e Espantalho","Ataque pessoal + distorção."
35,"Ou você apoia esse projeto de segurança agora, ou está do lado dos criminosos que aterrorizam famílias inteiras. Pense nas mães desesperadas!",0,0,0,1,1,0,"Falso Dilema e Apelo à Emoção","Falsa dicotomia + apelo emocional."
36,"Quem critica esse plano econômico é um derrotado que nunca realizou nada. Ou você está com o progresso ou é parte do atraso que destrói o país.",1,0,0,1,0,0,"Ad Hominem e Falso Dilema","Ataque + polarização extrema."
37,"Se começarmos a liberar protestos em rodovias, logo ninguém conseguirá chegar ao trabalho. Eu vi *um* protesto que parou uma ambulância, então *todos* os protestos vão acabar matando gente.",0,1,1,0,0,0,"Declive Escorregadio e Generalização Apressada","Projeção extrema + generalização."
38,"Os críticos das redes sociais só querem censura. Ou aceitamos regular tudo agora ou seremos vítimas do mesmo caos que já acontece lá fora.",0,0,1,1,0,0,"Generalização Apressada e Falso Dilema","Generaliza + dicotomia falsa."
39,"Pessoa A: precisamos reduzir plástico descartável. Pessoa B: Você só diz isso porque é um ativista desocupado que nunca produziu nada! Se fizermos isso, o país vai quebrar de vez.",1,1,0,0,0,0,"Ad Hominem e Declive Escorregadio","Ataque + previsão de desastre."
40,"Meu vizinho trocou o fogão a gás por um elétrico e a conta explodiou. Se todo mundo fizer isso, o sistema elétrico do país vai colapsar e ficaremos no escuro.",0,1,1,0,0,0,"Declive Escorregadio e Generalização Apressada","Generaliza + cenário extremo."
